Ministry Name,Expenditure Category (Operating / Capital),Program Name,Activity / Item,Sub Item,Standard Account (Expense/Asset Name),Account Details (Expense/Asset Details),amount_dollars
Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,,177462
Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,,9428
Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,,62326
Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,,1380
Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,,14925
Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,,5491349
Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,,25178
Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Services,,1039580
Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Minister's Salary, the Executive Council Act",20953
Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Associate Minister's Salary, the Executive Council Act",22378
Municipal Affairs and Housing,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Parliamentary Assistants' Salaries, the Executive Council Act",16667
Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,,Salaries and wages,,13085444
Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,,Employee benefits,,1845865
Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,,Transportation and communication,,121308
Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,,Services,,1318914
Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,,Supplies and equipment,,38873
Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,,Transfer payments,Payments under the Municipal Tax Assistance Act,91811314
Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,,Transfer payments,Municipal Modernization Program,2943814
Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,,Transfer payments,Streamline Development Approval Fund,19553475
Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,,Transfer payments,Taxes on Tenanted Provincial Properties under the Municipal Tax Assistance Act,10698494
Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,,Transfer payments,Priority Projects for Municipalities and Municipal Organizations,212321
Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,,Transfer payments,Disaster Recovery Assistance for Ontarians,3650000
Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,,Transfer payments,Assistance to Moosonee,1651120
Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,,Transfer payments,Municipal Disaster Recovery Assistance,121912
Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,,Transfer payments,Assistance to Planning Boards,380000
Municipal Affairs and Housing,Operating Expense,Municipal Services,Municipal Services,,Recoveries,,-102509808
Municipal Affairs and Housing,Operating Expense,Municipal Services,Statutory Appropriations,,Other transactions,"Bad Debt Expense, the Financial Administration Act",34287
Municipal Affairs and Housing,Operating Expense,Local Government and Planning Policy Program,Local Government,,Salaries and wages,,5628959
Municipal Affairs and Housing,Operating Expense,Local Government and Planning Policy Program,Local Government,,Employee benefits,,668810
Municipal Affairs and Housing,Operating Expense,Local Government and Planning Policy Program,Local Government,,Transportation and communication,,56905
Municipal Affairs and Housing,Operating Expense,Local Government and Planning Policy Program,Local Government,,Services,,4411690
Municipal Affairs and Housing,Operating Expense,Local Government and Planning Policy Program,Local Government,,Supplies and equipment,,11536
Municipal Affairs and Housing,Operating Expense,Local Government and Planning Policy Program,Planning and Growth Policy,,Salaries and wages,,8824408
Municipal Affairs and Housing,Operating Expense,Local Government and Planning Policy Program,Planning and Growth Policy,,Employee benefits,,1130880
Municipal Affairs and Housing,Operating Expense,Local Government and Planning Policy Program,Planning and Growth Policy,,Transportation and communication,,68839
Municipal Affairs and Housing,Operating Expense,Local Government and Planning Policy Program,Planning and Growth Policy,,Services,,2955186
Municipal Affairs and Housing,Operating Expense,Local Government and Planning Policy Program,Planning and Growth Policy,,Supplies and equipment,,14953
Municipal Affairs and Housing,Operating Expense,Housing Program,Community and Market Housing,,Salaries and wages,,12473682
Municipal Affairs and Housing,Operating Expense,Housing Program,Community and Market Housing,,Employee benefits,,1705836
Municipal Affairs and Housing,Operating Expense,Housing Program,Community and Market Housing,,Transportation and communication,,44399
Municipal Affairs and Housing,Operating Expense,Housing Program,Community and Market Housing,,Services,,11477482
Municipal Affairs and Housing,Operating Expense,Housing Program,Community and Market Housing,,Supplies and equipment,,16052
Municipal Affairs and Housing,Operating Expense,Housing Program,Community and Market Housing,,Transfer payments,Homelessness Programs,690321393
Municipal Affairs and Housing,Operating Expense,Housing Program,Community and Market Housing,,Transfer payments,Homelessness Programs - New Deal,200000000
Municipal Affairs and Housing,Operating Expense,Housing Program,Community and Market Housing,,Transfer payments,Community Housing Programs,194135218
Municipal Affairs and Housing,Operating Expense,Housing Program,Community and Market Housing,,Transfer payments,National Housing Strategy Programs,250069683
Municipal Affairs and Housing,Operating Expense,Housing Program,Community and Market Housing,,Transfer payments,Indigenous and Community Housing Initiatives,8000000
Municipal Affairs and Housing,Operating Expense,Housing Program,Community and Market Housing,,Other transactions,,11935092
Municipal Affairs and Housing,Operating Expense,Housing Program,Community and Market Housing,,Recoveries,,-28687898
Municipal Affairs and Housing,Operating Expense,Housing Program,Residential Tenancy,,Salaries and wages,,1291049
Municipal Affairs and Housing,Operating Expense,Housing Program,Residential Tenancy,,Employee benefits,,200159
Municipal Affairs and Housing,Operating Expense,Housing Program,Residential Tenancy,,Transportation and communication,,13505
Municipal Affairs and Housing,Operating Expense,Housing Program,Residential Tenancy,,Services,,637883
Municipal Affairs and Housing,Operating Expense,Housing Program,Residential Tenancy,,Supplies and equipment,,2717
Municipal Affairs and Housing,Operating Expense,Housing Program,Statutory Appropriations,,Other transactions,"Interest on Debt, the Financial Administration Act",1370200
Municipal Affairs and Housing,Capital Expense,Municipal Services,Municipal Services,,Transfer payments,Priority Projects for Municipalities and Municipal Organizations,24150000
Municipal Affairs and Housing,Capital Expense,Municipal Services,Municipal Services,,Transfer payments,Municipal Disaster Recovery Assistance,493500
Municipal Affairs and Housing,Capital Expense,Housing Program,Community and Market Housing Capital,,Services,,15931147
Municipal Affairs and Housing,Capital Expense,Housing Program,Community and Market Housing Capital,,Transfer payments,National Housing Strategy Programs,221939980
Municipal Affairs and Housing,Capital Expense,Housing Program,Community and Market Housing Capital,,Transfer payments,Homelessness Programs,52451947
Municipal Affairs and Housing,Capital Expense,Housing Program,Community and Market Housing Capital,,Transfer payments,Community Housing Programs,14343743
Municipal Affairs and Housing,Capital Expense,Housing Program,Statutory Appropriations,,Other transactions,"Amortization, the Financial Administration Act",604398
Transportation,Operating Expense,Ministry Administration Program,Business Support,Main Office,Salaries and wages,,3760997
